,삼척시청,강원도청,강릉시청,동해시청,속초시청,원주시청,춘천시청,태백시청,고성군청,양구군청,양양군청,영월군청,인제군청,정선군청,철원군청,평창군청,홍천군청,화천군청,횡성군청
삼척시청,0,208,59,16,119,170,208,47,147,117,102,108,160,79,292,138,183,237,156
강원도청,0,0,170,209,109,80,1,213,116,43,115,150,72,148,77,118,38,29,60
강릉시청,0,0,0,50,70,120,159,99,97,151,49,117,110,84,244,88,134,187,110
동해시청,0,0,0,0,106,156,197,55,136,167,88,116,149,77,282,127,173,226,146
속초시청,0,0,0,0,0,170,130,158,25,66,16,171,49,139,178,143,105,117,150
원주시청,0,0,0,0,0,0,83,136,165,122,142,72,109,100,170,69,59,112,30
춘천시청,0,0,0,0,0,0,0,213,118,43,126,149,74,147,77,123,38,33,60
태백시청,0,0,0,0,0,0,0,0,186,210,138,63,199,52,302,94,187,240,158
고성군청,0,0,0,0,0,0,0,0,0,75,53,199,57,166,180,171,109,125,142
양구군청,0,0,0,0,0,0,0,0,0,0,84,189,31,197,108,143,64,54,99
양양군청,0,0,0,0,0,0,0,0,0,0,0,151,56,119,199,123,89,143,134
영월군청,0,0,0,0,0,0,0,0,0,0,0,0,176,53,237,29,123,179,96
인제군청,0,0,0,0,0,0,0,0,0,0,0,0,0,143,136,127,53,82,86
정선군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,31,139,197,106
철원군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,122,60,148
평창군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,168,81
홍천군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,33
화천군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
횡성군청,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
